"category"	"over_represented_pvalue"	"under_represented_pvalue"	"numDEInCat"	"numInCat"	"term"	"ontology"
"GO:0044282"	3.02968560573091e-08	1	57	220	"small molecule catabolic process"	"BP"
"GO:0051241"	3.04443906576964e-08	1	139	721	"negative regulation of multicellular organismal process"	"BP"
"GO:0009410"	3.1421505128979e-08	0.999999992504658	30	83	"response to xenobiotic stimulus"	"BP"
"GO:0005201"	3.22009655752382e-08	0.99999999755482	14	22	"extracellular matrix structural constituent"	"MF"
"GO:0042737"	3.53540795030273e-08	0.999999994740031	20	42	"drug catabolic process"	"BP"
"GO:0050817"	3.53841682299726e-08	0.999999988233865	45	155	"coagulation"	"BP"
"GO:0003008"	3.80117738552118e-08	1	150	793	"system process"	"BP"
"00590"	4.18784394545322e-08	0.999999991546177	25	63	"Arachidonic acid metabolism"	"KEGG"
"GO:0019369"	4.6055926918094e-08	0.999999992018857	22	50	"arachidonic acid metabolic process"	"BP"
"GO:0071363"	4.61420413575467e-08	1	81	358	"cellular response to growth factor stimulus"	"BP"
"GO:0043167"	5.28397035251136e-08	1	617	4179	"ion binding"	"MF"
"GO:0030199"	5.46045508808969e-08	0.999999994090767	16	29	"collagen fibril organization"	"BP"
"GO:0070848"	5.7929027930483e-08	1	82	366	"response to growth factor"	"BP"
"GO:0060089"	6.16609206341541e-08	1	148	780	"molecular transducer activity"	"MF"
"GO:0042327"	6.88496025939212e-08	1	128	655	"positive regulation of phosphorylation"	"BP"
"GO:0050649"	7.07423700891595e-08	1	8	8	"testosterone 6-beta-hydroxylase activity"	"MF"
"GO:0016053"	7.84351621904905e-08	1	56	222	"organic acid biosynthetic process"	"BP"
"GO:0046394"	7.84351621904905e-08	1	56	222	"carboxylic acid biosynthetic process"	"BP"
"GO:0001934"	9.36701107596083e-08	1	122	620	"positive regulation of protein phosphorylation"	"BP"
"GO:0051716"	1.0006694783542e-07	1	618	4218	"cellular response to stimulus"	"BP"
"GO:0006732"	1.09715795525756e-07	1	61	253	"coenzyme metabolic process"	"BP"
"GO:0030335"	1.16922702699298e-07	1	70	305	"positive regulation of cell migration"	"BP"
"GO:0019825"	1.17918341997708e-07	0.999999979086475	21	49	"oxygen binding"	"MF"
"00010"	1.34577333398937e-07	0.999999974526358	22	53	"Glycolysis / Gluconeogenesis"	"KEGG"
"GO:0015711"	1.36690983090904e-07	1	61	251	"organic anion transport"	"BP"
"GO:0006954"	1.37901519777624e-07	1	83	389	"inflammatory response"	"BP"
"GO:0045861"	1.63291552611448e-07	1	59	246	"negative regulation of proteolysis"	"BP"
"GO:0048519"	1.6446610128725e-07	1	489	3260	"negative regulation of biological process"	"BP"
"GO:2000147"	1.65476961349228e-07	1	71	314	"positive regulation of cell motility"	"BP"
"04510"	1.79912492772833e-07	0.999999934116474	47	172	"Focal adhesion"	"KEGG"
"GO:0006066"	1.84986257201363e-07	1	58	239	"alcohol metabolic process"	"BP"
"GO:0051272"	1.90157375988264e-07	1	72	321	"positive regulation of cellular component movement"	"BP"
"GO:0007154"	2.09204202140096e-07	1	530	3561	"cell communication"	"BP"
"GO:0008391"	2.13386258299029e-07	0.999999965173258	19	42	"arachidonic acid monooxygenase activity"	"MF"
"GO:0048518"	2.22548266696522e-07	1	564	3829	"positive regulation of biological process"	"BP"
"GO:0048869"	2.26009600997861e-07	1	410	2665	"cellular developmental process"	"BP"
"GO:0051186"	2.43023903490911e-07	1	68	301	"cofactor metabolic process"	"BP"
"GO:0044700"	2.52814731191023e-07	1	505	3375	"single organism signaling"	"BP"
"GO:0045766"	2.64842853411473e-07	0.999999926068934	31	96	"positive regulation of angiogenesis"	"BP"
"GO:0070330"	2.82173358115381e-07	0.999999967133605	15	28	"aromatase activity"	"MF"
"GO:0050920"	2.83277684314668e-07	0.999999910886843	36	121	"regulation of chemotaxis"	"BP"
"GO:0023052"	2.9394868933586e-07	1	505	3379	"signaling"	"BP"
"GO:0097367"	2.9615069673769e-07	1	286	1753	"carbohydrate derivative binding"	"MF"
"GO:0040017"	3.06290461243363e-07	1	72	325	"positive regulation of locomotion"	"BP"
"GO:0006820"	3.25946354147891e-07	1	76	346	"anion transport"	"BP"
"GO:0098609"	3.50480340707423e-07	1	114	587	"cell-cell adhesion"	"BP"
"GO:0048407"	3.62825630005972e-07	0.999999989669916	9	11	"platelet-derived growth factor binding"	"MF"
"GO:0010876"	3.63066075951822e-07	1	59	250	"lipid localization"	"BP"
"GO:1901606"	3.89402060392257e-07	0.999999915841884	23	60	"alpha-amino acid catabolic process"	"BP"
"GO:0060326"	3.93276720368404e-07	0.999999856231277	44	166	"cell chemotaxis"	"BP"
"04610"	4.25370527738249e-07	0.999999895267461	26	74	"Complement and coagulation cascades"	"KEGG"
"GO:0008392"	4.86840849817546e-07	0.999999920069046	18	40	"arachidonic acid epoxygenase activity"	"MF"
"GO:0004871"	5.03305828380846e-07	1	126	663	"signal transducer activity"	"MF"
"GO:0010631"	5.38054816989398e-07	0.999999798480454	45	169	"epithelial cell migration"	"BP"
"GO:0052547"	5.43941020312042e-07	1	62	274	"regulation of peptidase activity"	"BP"
"GO:0048523"	5.80377509420694e-07	0.999999751055026	458	3045	"negative regulation of cellular process"	"BP"
"GO:0048522"	6.346350418462e-07	0.999999726037741	507	3411	"positive regulation of cellular process"	"BP"
"GO:0045834"	6.45870428946784e-07	0.999999800948643	33	109	"positive regulation of lipid metabolic process"	"BP"
"GO:0090132"	6.46898000890605e-07	0.999999755742817	45	170	"epithelium migration"	"BP"
"00140"	6.75315016025847e-07	0.99999987702901	19	45	"Steroid hormone biosynthesis"	"KEGG"
"GO:0048037"	6.80598442274605e-07	0.999999792037037	57	238	"cofactor binding"	"MF"
"GO:0048584"	6.91620536088459e-07	0.999999721376396	218	1296	"positive regulation of response to stimulus"	"BP"
"GO:0015718"	7.10348574289442e-07	0.999999795716756	30	94	"monocarboxylic acid transport"	"BP"
"GO:0090130"	7.60264355398797e-07	0.999999710841362	45	171	"tissue migration"	"BP"
"GO:0016054"	8.17261293719454e-07	0.99999970073015	42	155	"organic acid catabolic process"	"BP"
"GO:0046395"	8.17261293719454e-07	0.99999970073015	42	155	"carboxylic acid catabolic process"	"BP"
"GO:0031406"	8.41067275352303e-07	0.999999691385256	42	156	"carboxylic acid binding"	"MF"
"GO:0043177"	8.41067275352303e-07	0.999999691385256	42	156	"organic acid binding"	"MF"
"GO:0006639"	8.65983784682429e-07	0.999999747369224	30	96	"acylglycerol metabolic process"	"BP"
"GO:0001503"	9.06574084033957e-07	0.999999714616362	61	263	"ossification"	"BP"
"GO:0015909"	9.18860486959125e-07	0.99999987438681	15	31	"long-chain fatty acid transport"	"BP"
"GO:0060429"	1.05443521053513e-06	0.999999601459359	133	712	"epithelium development"	"BP"
"GO:0050795"	1.09439322406484e-06	0.999999598986976	41	153	"regulation of behavior"	"BP"
"GO:0010647"	1.11049372935502e-06	0.999999559419009	184	1065	"positive regulation of cell communication"	"BP"
"GO:0006790"	1.1818034948407e-06	0.999999637467558	55	233	"sulfur compound metabolic process"	"BP"
"GO:0008284"	1.19492336187636e-06	0.999999560082577	113	592	"positive regulation of cell proliferation"	"BP"
"GO:0042802"	1.26926242733633e-06	0.999999498814682	175	1012	"identical protein binding"	"MF"
"GO:0010817"	1.27635081885048e-06	0.999999583145007	67	302	"regulation of hormone levels"	"BP"
"GO:0044712"	1.30169302347186e-06	0.999999497883529	148	827	"single-organism catabolic process"	"BP"
"04060"	1.37745783049888e-06	0.999999482201542	42	160	"Cytokine-cytokine receptor interaction"	"KEGG"
"GO:0006638"	1.39957825689972e-06	0.999999579653531	30	98	"neutral lipid metabolic process"	"BP"
"GO:0006793"	1.41305469655928e-06	0.999999211215048	341	2187	"phosphorus metabolic process"	"BP"
"GO:1904018"	1.52025195090576e-06	0.999999529919968	31	103	"positive regulation of vasculature development"	"BP"
"GO:0023051"	1.56418469737403e-06	0.999999132369587	314	1985	"regulation of signaling"	"BP"
"GO:0006641"	1.80883649387327e-06	0.99999949247429	27	84	"triglyceride metabolic process"	"BP"
"GO:0098602"	1.87214908240111e-06	0.99999910291114	111	581	"single organism cell adhesion"	"BP"
"00983"	1.89868827975648e-06	0.999999576781758	21	56	"Drug metabolism - other enzymes"	"KEGG"
"GO:0023056"	1.9168725739805e-06	0.999998999637798	181	1050	"positive regulation of signaling"	"BP"
"GO:0009887"	2.02525377228013e-06	0.999999016396143	118	618	"organ morphogenesis"	"BP"
"GO:0015849"	2.27307488069817e-06	0.999999081624677	46	182	"organic acid transport"	"BP"
"GO:0010810"	2.31762454624643e-06	0.999999173883926	37	134	"regulation of cell-substrate adhesion"	"BP"
"GO:0009063"	2.36642477231044e-06	0.999999390003767	24	70	"cellular amino acid catabolic process"	"BP"
"GO:0050900"	2.58839498696052e-06	0.999998945012183	46	188	"leukocyte migration"	"BP"
"GO:0007165"	2.74004994365517e-06	0.999998140096228	469	3138	"signal transduction"	"BP"
"GO:0005996"	3.06203647881776e-06	0.999998815635123	51	213	"monosaccharide metabolic process"	"BP"
"GO:0019220"	3.23645128183654e-06	0.99999809474401	196	1159	"regulation of phosphate metabolic process"	"BP"
"GO:0051336"	3.26201806258863e-06	0.99999837389736	129	711	"regulation of hydrolase activity"	"BP"
"GO:0005506"	3.28417132590439e-06	0.999998846634188	35	127	"iron ion binding"	"MF"
"GO:0010646"	3.52631238085738e-06	0.99999767820795	317	2019	"regulation of cell communication"	"BP"
"GO:0044259"	3.52902050098755e-06	0.999999171290657	21	58	"multicellular organismal macromolecule metabolic process"	"BP"
"GO:0040007"	3.60123498508886e-06	0.999998195005281	132	724	"growth"	"BP"
"GO:0018149"	3.63747965041419e-06	0.999999722670814	10	16	"peptide cross-linking"	"BP"
"GO:0016125"	3.66214544527165e-06	0.999998833781642	30	102	"sterol metabolic process"	"BP"
"GO:0010632"	3.73940159596857e-06	0.999998678322829	35	127	"regulation of epithelial cell migration"	"BP"
"GO:0008203"	3.86091420164302e-06	0.999998796821171	29	97	"cholesterol metabolic process"	"BP"
"GO:1902652"	3.86091420164302e-06	0.999998796821171	29	97	"secondary alcohol metabolic process"	"BP"
"GO:0007267"	4.02240885773616e-06	0.999997889365586	103	534	"cell-cell signaling"	"BP"
"GO:0015908"	4.08867378077705e-06	0.999999120816542	19	50	"fatty acid transport"	"BP"
"GO:0046942"	4.15027455480935e-06	0.999998296935442	45	180	"carboxylic acid transport"	"BP"
"GO:0004930"	4.56838068451947e-06	0.999998162615878	43	169	"G-protein coupled receptor activity"	"MF"
"GO:0006694"	4.61461730235809e-06	0.999998442209541	32	113	"steroid biosynthetic process"	"BP"
"GO:0051174"	4.68290834252414e-06	0.999997083941741	196	1164	"regulation of phosphorus metabolic process"	"BP"
"GO:1901700"	4.83475844267853e-06	0.999997129513776	147	832	"response to oxygen-containing compound"	"BP"
"GO:0006575"	4.85983354612628e-06	0.999998137143466	39	152	"cellular modified amino acid metabolic process"	"BP"
"GO:0046460"	5.00289081526549e-06	0.999999172234858	15	34	"neutral lipid biosynthetic process"	"BP"
"GO:0046463"	5.00289081526549e-06	0.999999172234858	15	34	"acylglycerol biosynthetic process"	"BP"
"GO:1901617"	5.06831946270502e-06	0.999998056447551	39	150	"organic hydroxy compound biosynthetic process"	"BP"
"GO:0008283"	5.89601698355294e-06	0.999996150759797	217	1319	"cell proliferation"	"BP"
"GO:0016769"	6.20415308284419e-06	0.999999252952774	12	23	"transferase activity, transferring nitrogenous groups"	"MF"
"GO:0043542"	6.30549963456198e-06	0.999997833191446	32	114	"endothelial cell migration"	"BP"
"GO:0051093"	6.35771749287072e-06	0.999996436852796	109	578	"negative regulation of developmental process"	"BP"
"GO:0061041"	6.44512118982741e-06	0.999997929180702	29	98	"regulation of wound healing"	"BP"
"GO:0007178"	6.56582526737919e-06	0.999997176673038	52	223	"transmembrane receptor protein serine/threonine kinase signaling pathway"	"BP"
"00620"	6.57860788496594e-06	0.999998777164509	16	39	"Pyruvate metabolism"	"KEGG"
"GO:0001932"	6.61376641887855e-06	0.999995982537672	162	933	"regulation of protein phosphorylation"	"BP"
"GO:0030595"	6.75924412262836e-06	0.999997657518996	32	118	"leukocyte chemotaxis"	"BP"
"GO:0006869"	6.94459012407401e-06	0.999997051693726	50	215	"lipid transport"	"BP"
"00500"	7.02757250187288e-06	0.99999860192666	17	42	"Starch and sucrose metabolism"	"KEGG"
"GO:0042127"	7.22324358568483e-06	0.999995394820867	182	1078	"regulation of cell proliferation"	"BP"
"GO:1903034"	7.44296040864658e-06	0.99999649526674	60	276	"regulation of response to wounding"	"BP"
"GO:0072524"	8.01696957966633e-06	0.99999714803988	33	121	"pyridine-containing compound metabolic process"	"BP"
"GO:0045785"	8.38181531791853e-06	0.99999603938259	60	274	"positive regulation of cell adhesion"	"BP"
"GO:1901605"	8.43073547302518e-06	0.999996421936513	45	186	"alpha-amino acid metabolic process"	"BP"
"GO:0016614"	8.4899296870079e-06	0.999996911655194	34	127	"oxidoreductase activity, acting on CH-OH group of donors"	"MF"
"GO:0043086"	9.38446465461337e-06	0.999994810719238	99	524	"negative regulation of catalytic activity"	"BP"
"GO:0031214"	9.44786736142297e-06	0.999997210375152	25	80	"biomineral tissue development"	"BP"
"GO:0048468"	9.50962252867529e-06	0.999993605145327	224	1367	"cell development"	"BP"
"GO:0009967"	9.76918091083018e-06	0.999993861370476	162	941	"positive regulation of signal transduction"	"BP"
"GO:0032963"	1.03167951819376e-05	0.999997466188147	20	57	"collagen metabolic process"	"BP"
"GO:0045923"	1.06782968922282e-05	0.999998231276804	14	32	"positive regulation of fatty acid metabolic process"	"BP"
"GO:0030193"	1.09844843546636e-05	0.999996932741635	23	71	"regulation of blood coagulation"	"BP"
"GO:1900046"	1.09844843546636e-05	0.999996932741635	23	71	"regulation of hemostasis"	"BP"
"GO:0042325"	1.10539377366865e-05	0.999992845062394	173	1017	"regulation of phosphorylation"	"BP"
"GO:0048029"	1.11899210187743e-05	0.999996980116786	22	67	"monosaccharide binding"	"MF"
"GO:0006952"	1.1808097217655e-05	0.999992679568767	147	857	"defense response"	"BP"
"GO:0030246"	1.19400775656015e-05	0.999994793780364	46	194	"carbohydrate binding"	"MF"
"05146"	1.21114024948902e-05	0.999996256272409	26	85	"Amoebiasis"	"KEGG"
"04974"	1.24320334848334e-05	0.999997210126477	18	48	"Protein digestion and absorption"	"KEGG"
"GO:0001501"	1.24414265952089e-05	0.999993807254691	67	317	"skeletal system development"	"BP"
"03320"	1.24496389690665e-05	0.999996604982746	22	68	"PPAR signaling pathway"	"KEGG"
"GO:0071495"	1.26630073525317e-05	0.999992463162924	120	654	"cellular response to endogenous stimulus"	"BP"
"GO:0005126"	1.27620675269921e-05	0.999994721356793	41	169	"cytokine receptor binding"	"MF"
"GO:0007610"	1.30958317148529e-05	0.999992708513001	91	471	"behavior"	"BP"
"GO:1901565"	1.33406578016067e-05	0.999994276118565	44	184	"organonitrogen compound catabolic process"	"BP"
"GO:0002685"	1.34079643158621e-05	0.999995262117272	31	115	"regulation of leukocyte migration"	"BP"
"GO:0051130"	1.38295735891181e-05	0.999991262763876	148	851	"positive regulation of cellular component organization"	"BP"
"GO:0046889"	1.39199404141328e-05	0.99999632772082	21	63	"positive regulation of lipid biosynthetic process"	"BP"
"GO:0010811"	1.44921060950568e-05	0.999995583372123	25	82	"positive regulation of cell-substrate adhesion"	"BP"
"GO:0008483"	1.49075677872191e-05	0.999998228985187	11	21	"transaminase activity"	"MF"
"GO:0072330"	1.51738771124637e-05	0.999993839728599	39	157	"monocarboxylic acid biosynthetic process"	"BP"
"GO:0032101"	1.54545238374953e-05	0.999991029547108	105	571	"regulation of response to external stimulus"	"BP"
"GO:0016597"	1.58129102478867e-05	0.999995303999892	24	77	"amino acid binding"	"MF"
"GO:0052689"	1.60661471140054e-05	0.999994045028985	33	125	"carboxylic ester hydrolase activity"	"MF"
"GO:0016049"	1.62712493159492e-05	0.999991493626221	72	353	"cell growth"	"BP"
"00910"	1.67298119377748e-05	0.999998289476779	10	18	"Nitrogen metabolism"	"KEGG"
"GO:0016051"	1.67784499128787e-05	0.999993456029423	36	139	"carbohydrate biosynthetic process"	"BP"
"GO:0050661"	1.6983295818441e-05	0.999996761565116	15	37	"NADP binding"	"MF"
"GO:0019955"	1.80586642646673e-05	0.999995145310926	21	63	"cytokine binding"	"MF"
"GO:0048732"	2.03664236909861e-05	0.99998986466117	61	285	"gland development"	"BP"
"GO:0019637"	2.18982833895421e-05	0.999986465235697	126	722	"organophosphate metabolic process"	"BP"
"GO:0044236"	2.19763400671292e-05	0.999993745546657	22	69	"multicellular organismal metabolic process"	"BP"
"00330"	2.21268950130864e-05	0.999995023073053	17	46	"Arginine and proline metabolism"	"KEGG"
